DONOSTIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,014;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
27 Mar.;;0;0;0;0;2;;0;0;;0;;0;0;3;;0;;0;0;16;;0;;;0;0;0;;1;0;;8;0;6;4;1;25;0;0;1;;0;0;;1;0;1;69;0;;
28 Mar.;;1;0;1;0;2;;0;0;;0;;0;0;10;;0;;0;0;0;;0;;;0;0;0;;7;0;;8;0;14;1;4;45;0;0;0;;0;0;;1;0;3;97;1;;
29 Mar.;;0;0;2;0;5;;1;0;;0;;0;0;19;;0;;1;0;24;;0;;;0;1;0;;13;2;;10;2;47;2;21;71;0;0;4;;0;1;;3;0;4;233;0;;
30 Mar.;;2;0;0;0;8;;1;0;;0;;0;0;10;;0;;0;0;13;;0;;;0;0;0;;5;0;;2;1;122;5;9;86;0;1;1;;0;0;;4;0;4;274;0;;
31 Mar.;;0;0;1;0;19;;1;0;;0;;0;0;14;;0;;0;0;23;;0;;;0;1;0;;10;2;;11;2;279;3;19;95;0;1;0;;0;0;;2;0;8;491;0;;
1  Abr.;;0;0;1;0;13;;2;0;;0;;0;0;98;;1;;1;1;13;;0;;;0;1;0;;9;0;;23;4;436;5;24;107;0;1;8;;0;0;;1;1;13;763;1;;
2  Abr.;;0;0;1;0;10;;0;0;;0;;0;0;11;;0;;0;0;5;;0;;;0;0;0;;7;1;;10;2;223;1;6;41;0;0;0;;0;0;;4;0;4;326;0;;
3  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;2;0;0;0;0;0;0;;0;0;;0;0;0;4;0;;
4  Abr.;;0;0;0;0;1;;0;0;;0;;0;0;3;;0;;0;0;3;;0;;;0;0;0;;0;0;;8;2;41;1;2;2;0;2;0;;0;0;;0;0;0;65;0;;
5  Abr.;;0;0;0;0;11;;0;0;;0;;0;0;7;;0;;0;0;5;;0;;;0;0;0;;0;0;;5;2;232;0;3;31;0;2;0;;0;0;;0;0;2;300;0;;
6  Abr.;;0;0;1;0;113;;2;0;;0;;0;0;20;;0;;0;0;11;;2;;;0;0;0;;11;1;;94;11;682;5;11;416;0;0;0;;0;0;;0;0;6;1,386;0;;
7  Abr.;;0;0;0;0;6;;0;0;;0;;0;0;4;;0;;0;0;0;;0;;;0;0;0;;1;1;;3;0;17;1;0;7;0;1;0;;0;0;;0;0;4;45;0;;
8  Abr.;;0;0;0;0;8;;1;0;;0;;0;0;1;;0;;0;0;1;;1;;;0;0;0;;0;0;;55;0;23;1;0;23;0;1;0;;0;0;;1;0;0;116;1;;
9  Abr.;;0;0;0;0;1;;1;0;;0;;0;0;1;;0;;0;0;1;;0;;;0;0;0;;2;0;;14;1;82;3;1;73;0;3;1;;0;0;;0;0;0;184;1;;
10 Abri.;;0;0;0;0;31;;0;0;;0;;0;0;2;;0;;0;0;0;;0;;;0;0;0;;1;0;;8;1;102;1;0;24;0;0;0;;0;0;;0;0;5;175;0;;
11 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;1;1;;2;0;2;1;0;3;0;0;0;;0;0;;0;0;0;12;0;;
