VITORIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,014;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
24 Abri.;;0;1;0;0;1;;0;0;;0;;0;0;3;;0;;0;0;0;;0;;;0;0;0;;3;0;;1;0;8;1;0;20;0;0;0;;0;0;;0;0;1;39;1;;
25 Abri.;;0;5;0;0;2;;1;0;;0;;0;0;2;;0;;0;0;0;;1;;;0;0;0;;5;0;;2;1;14;1;0;46;0;0;1;;0;0;;0;0;1;82;5;;
26 Abri.;;1;1;0;0;2;;0;0;;0;;0;0;1;;0;;1;1;0;;0;;;0;0;0;;0;0;;4;1;3;2;0;21;0;1;0;;0;0;;0;0;0;39;0;;
27 Abri.;;0;0;0;0;1;;1;0;;0;;1;0;1;;0;;1;0;0;;0;;;0;0;0;;1;0;;3;0;3;1;0;28;0;0;0;;0;0;;0;0;0;41;0;;
28 Abri.;;0;3;0;0;6;;1;0;;0;;0;0;1;;0;;3;0;0;;0;;;0;0;0;;1;0;;1;2;2;0;0;8;0;1;0;;0;0;;0;0;2;31;0;;
29 Abri.;;1;0;0;0;3;;0;0;;0;;1;0;4;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;1;2;4;0;18;0;1;0;;0;0;;0;0;1;38;0;;
30 Abri.;;1;4;0;0;1;;1;0;;0;;0;0;2;;0;;0;0;0;;0;;;0;0;0;;1;1;;3;1;1;3;0;18;0;0;0;;0;0;;0;0;2;39;1;;
1  May.;;1;18;0;0;0;;1;0;;0;;0;0;1;;0;;0;1;0;;1;;;0;0;0;;0;0;;0;3;1;2;0;11;0;0;0;;0;0;;0;0;0;40;1;;
2  May.;;0;1;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;2;0;;1;0;2;1;0;4;0;0;0;;0;0;;0;0;0;12;0;;
3  May.;;0;1;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;3;2;0;3;0;1;0;;0;0;;0;0;0;10;0;;
4  May.;;0;0;0;0;1;;0;0;;0;;0;0;2;;0;;1;0;0;;2;;;0;0;0;;1;0;;2;4;3;12;1;38;0;2;0;;0;0;;0;0;1;70;3;;
5  May.;;1;7;0;0;16;;1;0;;0;;0;0;15;;0;;4;1;0;;0;;;0;0;0;;5;7;;12;5;5;19;0;348;0;4;0;;1;0;;0;0;3;454;6;;
6  May.;;1;2;0;0;2;;0;0;;0;;3;0;10;;1;;3;0;0;;0;;;3;0;0;;6;7;;3;11;3;17;0;146;1;3;0;;1;0;;0;0;2;225;2;;
7  May.;;0;1;0;0;0;;0;0;;0;;0;0;3;;0;;2;0;0;;0;;;1;0;0;;3;0;;3;3;1;11;0;47;0;2;1;;0;0;;0;0;3;81;1;;
